time,x,y,z,qw,qx,qy,qz,vx,vy,vz,
1641629234781386240,-0.02517,-0.03985,0.13163,0.69494,-0.70622,-0.04549,0.12742,0.22036,-0.18131,0.30134,
1641629234831385088,-0.02030,-0.03708,0.13811,0.69897,-0.70034,-0.03291,0.14103,0.23887,-0.15346,0.18505,
1641629234881389056,-0.00904,-0.02998,0.13389,0.69566,-0.70251,-0.02678,0.14775,0.23674,-0.09203,0.01877,
1641629234931385344,-0.00945,-0.02051,0.13254,0.68744,-0.71052,-0.02350,0.14844,0.22464,-0.01737,-0.11390,
1641629234981385216,-0.00306,-0.01555,0.12507,0.68252,-0.71649,-0.01955,0.14296,0.23195,0.01640,-0.20778,
1641629235031385088,0.00609,-0.01054,0.11297,0.67572,-0.72407,-0.01263,0.13769,0.25066,0.04259,-0.26966,
1641629235081385216,0.01963,-0.00708,0.09539,0.66696,-0.73336,-0.00065,0.13170,0.26649,0.05448,-0.32243,
1641629235131386368,0.03423,-0.00362,0.07216,0.65820,-0.74181,0.01094,0.12798,0.28951,0.02245,-0.35870,
1641629235181385216,0.04755,0.00114,0.05176,0.64923,-0.75054,0.01657,0.12214,0.30792,0.00742,-0.38392,
1641629235231385344,0.06063,0.00401,0.03480,0.64214,-0.75863,0.02105,0.10816,0.33033,0.00230,-0.38171,
1641629235281385216,0.07463,0.00592,0.02137,0.63300,-0.76837,0.02865,0.08995,0.36486,-0.02510,-0.35185,
1641629235331385088,0.08804,0.00908,0.01086,0.62444,-0.77721,0.03121,0.07104,0.37819,-0.03606,-0.29669,
1641629235381385216,0.10145,0.01167,0.00292,0.61933,-0.78287,0.03263,0.04967,0.38069,-0.03810,-0.21317,
1641629235431385344,0.11512,0.01216,-0.00197,0.61811,-0.78475,0.03592,0.02867,0.36642,-0.05746,-0.11756,
1641629235481385216,0.13101,0.01047,-0.00296,0.61453,-0.78794,0.03670,0.01276,0.34736,-0.07148,-0.02265,
1641629235531385088,0.14534,0.01296,0.00201,0.61192,-0.79015,0.03471,-0.00335,0.31641,-0.05967,0.07320,
1641629235581385216,0.16172,0.01080,0.00970,0.61270,-0.78938,0.02924,-0.02489,0.28738,-0.07241,0.17859,
1641629235631385344,0.17694,0.00529,0.02156,0.62142,-0.78168,0.02073,-0.04874,0.24579,-0.10285,0.26683,
1641629235681385216,0.18852,0.00055,0.03650,0.63209,-0.77164,0.00901,-0.07043,0.19616,-0.11380,0.31754,
1641629235731385344,0.19685,-0.00304,0.05297,0.64010,-0.76307,-0.00501,-0.08932,0.14406,-0.10443,0.33114,
1641629235781385216,0.20361,-0.00482,0.06883,0.64407,-0.75787,-0.01709,-0.10256,0.10151,-0.08977,0.31506,
1641629235831385088,0.20770,-0.00582,0.08253,0.64890,-0.75232,-0.02856,-0.11014,0.05466,-0.07301,0.25264,
1641629235881385216,0.20831,-0.00591,0.09225,0.65181,-0.74755,-0.04510,-0.11945,0.01204,-0.04577,0.15879,
1641629235931385344,0.20568,-0.00516,0.09658,0.65635,-0.74013,-0.06101,-0.13300,-0.03067,-0.01802,0.03203,
1641629235981385216,0.19811,-0.00528,0.09668,0.65719,-0.73550,-0.07813,-0.14503,-0.08178,-0.00663,-0.09266,
1641629236031385088,0.18598,-0.00692,0.09482,0.65245,-0.73675,-0.09588,-0.14939,-0.13272,-0.01146,-0.19252,
1641629236081385216,0.17090,-0.00836,0.08809,0.64416,-0.74292,-0.11008,-0.14492,-0.18572,-0.01465,-0.28773,
1641629236131385344,0.15408,-0.00879,0.07593,0.62949,-0.75511,-0.12625,-0.13269,-0.23389,-0.01065,-0.35981,
1641629236181385216,0.13690,-0.00878,0.05986,0.61475,-0.76690,-0.14013,-0.11961,-0.27419,-0.00460,-0.40098,
1641629236231385344,0.11962,-0.00908,0.04082,0.60128,-0.77615,-0.15533,-0.10922,-0.30925,-0.02199,-0.39102,
1641629236281385216,0.10124,-0.01077,0.02105,0.59296,-0.78211,-0.16642,-0.09489,-0.34384,-0.03824,-0.35293,
1641629236331385088,0.08238,-0.01369,0.00436,0.58136,-0.79078,-0.17643,-0.07457,-0.36690,-0.06386,-0.28394,
1641629236381385216,0.06344,-0.01827,-0.00883,0.57008,-0.79948,-0.18371,-0.04578,-0.37067,-0.07871,-0.20607,
1641629236431385344,0.04429,-0.02364,-0.01868,0.56098,-0.80548,-0.19035,-0.01640,-0.36903,-0.08959,-0.13802,
1641629236481385216,0.02500,-0.02900,-0.02463,0.55588,-0.80711,-0.19859,0.01115,-0.36683,-0.10350,-0.05862,
1641629236531385088,0.00578,-0.03542,-0.02778,0.55275,-0.80542,-0.21048,0.03833,-0.34902,-0.11641,0.02809,
1641629236581385216,-0.01183,-0.04255,-0.02629,0.55212,-0.80032,-0.22449,0.06525,-0.30573,-0.13421,0.13950,
1641629236631385344,-0.02719,-0.05014,-0.02021,0.55395,-0.79239,-0.23805,0.09262,-0.23427,-0.13275,0.25199,
1641629236681385216,-0.03880,-0.05704,-0.00860,0.56176,-0.78006,-0.24850,0.11906,-0.14753,-0.11457,0.35576,
1641629236731385344,-0.04696,-0.06268,0.00849,0.57426,-0.76547,-0.25254,0.14317,-0.07286,-0.07959,0.43819,
1641629236781385216,-0.05382,-0.06894,0.02768,0.58921,-0.75012,-0.25167,0.16372,-0.02439,-0.05177,0.47875,
1641629236831385088,-0.05925,-0.07604,0.04839,0.60302,-0.73546,-0.24943,0.18233,0.02601,-0.05434,0.50331,
